lon,lat,timestamp,nextStpId,flags,heading,arrT,isDly,destNm,prdt,nextStaId,line,trDr,rn,nextStaNm,destSt
-87.65519,41.95377,2016-06-20T11:30:14.000Z,30294,None,89,20160620 11:31:51,0,95th/Dan Ryan,20160620 11:29:51,40080,red,5,801,Sheridan,30089
-87.65884,41.9835,2016-06-20T11:30:14.000Z,30067,None,178,20160620 11:30:51,0,95th/Dan Ryan,20160620 11:28:51,40340,red,5,802,Berwyn,30089
-87.65677,41.95494,2016-06-20T11:30:14.000Z,30105,None,358,20160620 11:31:39,0,Howard,20160620 11:29:39,40540,red,1,805,Wilson,30173
-87.63097,41.85321,2016-06-20T11:30:14.000Z,30269,None,343,20160620 11:32:18,0,Howard,20160620 11:29:18,41400,red,1,806,Roosevelt,30173
-87.63141,41.90392,2016-06-20T11:30:14.000Z,30125,None,269,20160620 11:32:00,0,Howard,20160620 11:29:00,40650,red,1,807,North/Clybourn,30173
-87.63115,41.79393,2016-06-20T11:30:14.000Z,30178,None,179,20160620 11:30:14,0,95th/Dan Ryan,20160620 11:29:14,40910,red,5,812,63rd,30089
-87.6276,41.87815,2016-06-20T11:30:14.000Z,30286,None,177,20160620 11:30:59,0,95th/Dan Ryan,20160620 11:29:59,41490,red,5,814,Harrison,30089
-87.65332,41.93739,2016-06-20T11:30:14.000Z,30234,None,177,20160620 11:32:45,0,95th/Dan Ryan,20160620 11:29:45,41220,red,5,815,Fullerton,30089
-87.6592,41.99366,2016-06-20T11:30:14.000Z,30148,None,176,20160620 11:30:45,0,95th/Dan Ryan,20160620 11:29:45,40760,red,5,816,Granville,30089
-87.66909,42.01588,2016-06-20T11:30:14.000Z,30173,None,310,20160620 11:29:21,0,Howard,20160620 11:27:21,40900,red,1,818,Howard,30173
-87.65849,41.9713,2016-06-20T11:30:14.000Z,30229,None,358,20160620 11:28:36,0,Howard,20160620 11:27:36,41200,red,1,820,Argyle,30173
-87.65338,41.94282,2016-06-20T11:30:14.000Z,30273,None,5,20160620 11:30:41,0,Howard,20160620 11:29:41,41420,red,1,821,Addison,30173
-87.62547,41.7549,2016-06-20T11:30:14.000Z,30191,None,354,20160620 11:30:56,0,Howard,20160620 11:29:56,40990,red,1,824,69th,30173
-87.62755,41.8761,2016-06-20T11:30:14.000Z,30109,None,358,20160620 11:30:52,0,Howard,20160620 11:29:52,40560,red,1,901,Jackson,30173
-87.63133,41.80112,2016-06-20T11:30:14.000Z,30237,None,358,20160620 11:30:56,0,Howard,20160620 11:29:56,41230,red,1,902,47th,30173
-87.64918,41.91065,2016-06-20T11:30:14.000Z,30122,None,125,20160620 11:31:31,0,95th/Dan Ryan,20160620 11:29:31,40630,red,5,906,Clark/Division,30089
-87.66617,42.0127,2016-06-20T11:30:14.000Z,30227,None,335,20160620 11:30:05,0,Howard,20160620 11:29:05,41190,red,1,911,Jarvis,30173
-87.63049,41.8248,2016-06-20T11:30:14.000Z,30238,None,178,20160620 11:30:57,0,95th/Dan Ryan,20160620 11:29:57,41230,red,5,912,47th,30089
-87.65519,41.95377,2016-06-20T11:31:14.000Z,30294,None,89,20160620 11:31:51,0,95th/Dan Ryan,20160620 11:29:51,40080,red,5,801,Sheridan,30089
-87.65867,41.97798,2016-06-20T11:31:14.000Z,30230,None,178,20160620 11:32:07,0,95th/Dan Ryan,20160620 11:30:07,41200,red,5,802,Argyle,30089
-87.65696,41.96077,2016-06-20T11:31:14.000Z,30105,None,358,20160620 11:31:47,0,Howard,20160620 11:30:47,40540,red,1,805,Wilson,30173
-87.63138,41.85943,2016-06-20T11:31:14.000Z,30269,None,10,20160620 11:32:58,0,Howard,20160620 11:30:58,41400,red,1,806,Roosevelt,30173
-87.63866,41.9038,2016-06-20T11:31:14.000Z,30125,None,269,20160620 11:31:57,0,Howard,20160620 11:30:57,40650,red,1,807,North/Clybourn,30173
-87.63107,41.7836,2016-06-20T11:31:14.000Z,30178,None,178,20160620 11:31:57,0,95th/Dan Ryan,20160620 11:30:57,40910,red,5,812,63rd,30089
-87.6276,41.87815,2016-06-20T11:31:14.000Z,30286,None,177,20160620 11:30:59,0,95th/Dan Ryan,20160620 11:29:59,41490,red,5,814,Harrison,30089
-87.65328,41.93636,2016-06-20T11:31:14.000Z,30234,None,177,20160620 11:32:50,0,95th/Dan Ryan,20160620 11:30:50,41220,red,5,815,Fullerton,30089
-87.65912,41.99196,2016-06-20T11:31:14.000Z,30170,None,178,20160620 11:31:31,0,95th/Dan Ryan,20160620 11:30:31,40880,red,5,816,Thorndale,30089
-87.66909,42.01588,2016-06-20T11:31:14.000Z,30173,None,310,20160620 11:29:21,0,Howard,20160620 11:27:21,40900,red,1,818,Howard,30173
-87.65849,41.9713,2016-06-20T11:31:14.000Z,30229,None,358,20160620 11:28:36,0,Howard,20160620 11:27:36,41200,red,1,820,Argyle,30173
-87.65353,41.94525,2016-06-20T11:31:14.000Z,30273,None,358,20160620 11:31:15,0,Howard,20160620 11:30:15,41420,red,1,821,Addison,30173
-87.62576,41.76721,2016-06-20T11:31:14.000Z,30191,None,357,20160620 11:31:53,0,Howard,20160620 11:30:53,40990,red,1,824,69th,30173
-87.6276,41.87815,2016-06-20T11:31:14.000Z,30211,None,357,20160620 11:31:08,0,Howard,20160620 11:30:08,41090,red,1,901,Monroe,30173
-87.63101,41.81036,2016-06-20T11:31:14.000Z,30036,None,32,20160620 11:32:29,0,Howard,20160620 11:30:29,40190,red,1,902,Sox-35th,30173
-87.64475,41.9075,2016-06-20T11:31:14.000Z,30122,None,125,20160620 11:31:57,0,95th/Dan Ryan,20160620 11:30:57,40630,red,5,906,Clark/Division,30089
-87.66617,42.0127,2016-06-20T11:31:14.000Z,30227,None,335,20160620 11:30:05,0,Howard,20160620 11:29:05,41190,red,1,911,Jarvis,30173
-87.63021,41.81227,2016-06-20T11:31:14.000Z,30238,None,184,20160620 11:31:54,0,95th/Dan Ryan,20160620 11:30:54,41230,red,5,912,47th,30089
-87.65745,41.96352,2016-06-20T11:32:15.000Z,30294,None,165,20160620 11:33:10,0,95th/Dan Ryan,20160620 11:31:10,40080,red,5,801,Sheridan,30089
